time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.77,0.132424,0.0465407,0.0868663,0.610858,1.02248,0.00854798,0.242029,-0.0721661,-0.0376222,-0.288451,-0.0172191,0.0152713,-0.361096,-0.64708,-0.0388489,-0.0355773,-0.114907,0.142888
0.78,0.13444,0.041699,0.0877551,0.611302,1.02345,0.0104649,0.228525,-0.0646779,-0.041718,-0.254066,-0.0300737,-0.00143128,-0.365729,-0.719366,-0.0255193,-0.0771193,-0.110919,0.140616
0.79,0.135915,0.0365546,0.087072,0.611408,1.02448,0.0129252,0.216002,-0.0558996,-0.0450564,-0.220344,-0.0435767,-0.0159544,-0.369204,-0.784566,-0.0130053,-0.114027,-0.106665,0.133652
0.8,0.136187,0.0301582,0.0867242,0.611624,1.02557,0.0147521,0.204344,-0.0464385,-0.0478375,-0.187105,-0.0573626,-0.0296018,-0.371104,-0.843428,-0.00021857,-0.144906,-0.102795,0.121829
0.81,0.134582,0.0235146,0.0865699,0.61192,1.02658,0.016702,0.192791,-0.0365047,-0.0510825,-0.154112,-0.0704988,-0.0401993,-0.369106,-0.896394,0.0115016,-0.168305,-0.0987524,0.105496
0.82,0.119538,0.00103436,0.0858165,0.612164,1.02695,0.0197582,0.193349,-0.010603,-0.0657545,-0.10372,-0.0959035,-0.0423148,-0.359374,-0.949906,0.0237293,-0.18191,-0.0904814,0.0663172
0.83,0.125777,0.00769025,0.0797037,0.612002,1.02944,0.0212495,0.174016,-0.0146324,-0.0647089,-0.0826566,-0.0901997,-0.0473214,-0.359693,-0.989684,0.0242269,-0.187843,-0.0892455,0.0622662
0.84,0.129981,0.0143662,0.0807805,0.611411,1.03152,0.0229522,0.153654,-0.0180732,-0.0614874,-0.0568547,-0.0900126,-0.0555498,-0.354516,-1.02886,0.0328994,-0.18807,-0.087944,0.0503087
0.85,0.131584,0.0164113,0.075892,0.611148,1.0334,0.0246216,0.135967,-0.0169928,-0.0610925,-0.0315328,-0.0882813,-0.0605556,-0.346447,-1.06161,0.043395,-0.182093,-0.0873337,0.0355557
0.86,0.132589,0.018677,0.0774413,0.610879,1.03525,0.0260066,0.118352,-0.0165932,-0.0571014,-0.00476394,-0.0888691,-0.0651374,-0.338294,-1.09106,0.0515519,-0.169771,-0.0840467,0.0171954
