time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.95,0.888279,-6.56208,-4.59889,-0.456897,-0.642665,0.424083,7.71772,6.57563,0.479281,-7.48334,-6.42564,-0.30678,-11.9306,12.4027,-1.38905,-2.89604,-0.91028,-6.17432
0.96,1.88943,-4.42376,-3.38709,-0.866417,-0.491159,0.0635876,6.19842,3.86485,1.07229,-6.23731,-5.28296,-1.46434,-10.8644,8.22917,-1.20741,-3.37815,-1.07127,-5.31794
0.97,-5.68866,8.11752,7.09293,0.290397,-0.459615,-1.29086,-6.26039,-9.80694,5.52455,6.34347,6.76768,-1.45027,21.7307,4.31839,-0.356924,7.33298,5.96989,8.13457
0.98,-9.56273,6.43209,7.79674,2.14571,-0.102539,-0.681735,-6.76428,-6.69877,3.57609,3.71802,4.57937,-2.21715,24.2763,17.8766,0.820603,8.7048,5.68404,7.32513
0.99,6.75495,-10.4429,0.565824,0.291458,0.0703303,0.992475,4.81771,12.9876,-9.57846,-10.401,-14.3967,-2.31217,-26.1922,11.3668,2.00509,-9.6338,-9.02579,-12.6534
1,11.4737,-8.99058,-3.08933,-2.49107,-0.368164,0.272097,6.82993,10.0888,-6.51074,-9.10069,-10.3725,0.405276,-28.9061,-3.84673,1.29034,-11.5427,-8.6403,-12.3193
1.01,-3.43861,4.41509,-0.114392,-0.901364,-0.622495,-0.872752,-0.645069,-5.89716,6.09876,0.693146,6.46344,1.52117,13.6395,2.87775,0.778683,4.06811,4.17109,2.9683
1.02,-6.08482,3.01521,1.73419,1.57579,-0.375806,-0.212941,-2.82325,-3.54339,3.01832,0.266157,2.82492,-1.61938,13.3189,11.483,0.303003,3.79678,3.47817,0.87923
1.03,0.201681,-3.54562,0.805059,0.726884,-0.320233,0.379196,-0.891717,4.55469,-3.23748,-2.66261,-5.86742,-3.90848,-4.12323,11.3008,0.917508,-3.97469,-2.13711,-6.6591
1.04,8.3889,14.6973,-9.09208,-0.415982,1.52887,-0.242521,-19.1185,-17.9645,-0.0937093,-20.1918,16.666,-9.64968,23.8205,27.3519,-17.9268,-28.6135,0.156323,-28.865
1.05,7.51193,15.8107,-2.02672,0.126388,1.28346,-1.15696,-18.4795,-18.813,3.92101,-17.3699,19.6578,-5.19413,24.7417,13.405,-17.2515,-21.2175,2.27349,-23.4276
1.06,-9.09455,-32.1711,16.5941,-0.255844,-3.41078,0.0168249,30.2979,38.2937,-3.88601,24.6387,-35.8094,15.9593,-44.4992,-37.3028,31.9633,38.4487,-5.07344,34.3204
1.07,-10.1505,-32.0124,-3.33909,-0.790758,-2.20704,1.58567,29.8109,34.7458,-3.32416,14.6025,-35.8403,13.812,-36.6689,-5.6271,22.308,19.0107,-2.34134,27.9802
1.08,5.58171,20.4495,-16.9207,0.00475462,2.77679,0.120054,-17.3363,-27.422,14.7505,-29.2222,24.7304,-8.47779,26.2836,55.7466,-34.7015,-52.3652,8.91114,-35.3484
1.09,5.4383,26.2089,9.40038,1.11561,0.349168,-1.8296,-19.6268,-27.8903,6.51171,-6.05902,29.9521,-13.9996,20.2508,0.161776,-12.2941,-16.2691,-0.151083,-25.1511
1.1,-6.60335,-12.7467,15.9474,0.970258,-3.90819,-0.414508,9.95927,19.1438,-18.5702,33.6205,-16.463,1.23249,-13.2446,-68.1847,39.6301,59.1741,-11.0557,35.0761
1.11,-7.02943,-21.0035,-12.1018,-0.458844,-0.527964,1.55587,15.7872,20.4243,-2.64838,-0.929277,-23.5176,18.7235,-9.10393,7.54968,7.87887,14.917,3.97824,32.7599
1.12,4.46915,7.55153,-8.4956,-0.866609,2.71366,0.00957892,-2.71081,-12.478,17.701,-24.276,11.6118,6.7606,1.53203,44.0339,-33.0911,-39.5337,12.3589,-8.7528
1.13,7.81983,16.0313,6.33396,0.0622856,0.341313,-0.956112,-10.4722,-16.7813,5.62282,-5.43836,17.667,-8.22742,-2.29483,-1.74369,-8.90433,-14.6396,-2.46815,-9.66845
1.14,-1.48223,-0.960434,-4.66859,0.505976,-1.33888,-0.0642084,-0.931035,0.18861,-6.62975,-0.566017,-3.37747,1.90928,1.95146,-2.95968,18.5853,14.471,-9.319,6.82647
1.15,-7.08424,-7.13239,-1.48835,0.837368,-1.16081,-0.308899,7.20481,7.56286,-8.09794,16.2656,-7.69372,11.0175,2.26176,-35.5153,17.8947,38.7773,-2.12784,8.89182
1.16,-0.358996,-0.613805,3.95049,0.71682,0.34224,-0.0131431,2.63731,1.30163,2.29852,2.30797,-0.83692,14.4173,-3.71443,-18.2101,-5.40053,11.629,5.35825,11.4041
1.17,6.67772,2.49653,4.07032,-0.139556,1.04724,0.428345,-5.6727,-2.05079,6.33882,-20.9777,2.58749,-2.30472,-4.34286,26.8316,-16.5257,-28.6461,3.16807,3.64266
1.18,3.73434,4.15692,2.22687,-0.934542,0.105682,-0.221145,-1.79222,-3.4013,-6.64318,11.2377,5.066,-23.0325,-6.01849,-32.4134,-3.50284,-8.88097,-3.68712,-13.73
1.19,-3.28193,1.6602,-6.89614,0.191392,-0.297958,-0.437984,4.40806,-4.59546,-3.12986,14.6874,-0.0899075,-0.0414697,-2.05695,-38.221,6.86605,16.728,-0.189961,-1.78845
1.2,-4.46591,-2.11159,-4.12902,1.5432,-0.155572,0.112927,2.41003,-0.404776,7.04505,-14.8287,-4.10185,17.5737,4.64248,19.4634,4.52326,8.19605,3.79838,12.0013
1.21,0.469053,0.466214,6.28005,-0.517245,0.610306,0.0144531,3.07919,2.33839,-6.44793,3.08966,2.88449,-11.4895,-3.16845,-15.8547,-8.83778,-15.9202,-2.84672,-8.02395
1.22,0.914101,1.90236,4.70377,-1.11993,0.662011,-0.366008,3.25266,0.225437,-10.3689,15.7,4.52761,-18.1105,-6.28008,-39.3071,-7.76152,-12.2422,-4.37532,-13.3749
1.23,0.128459,0.604571,-8.28853,0.958132,0.0767341,-0.144336,-2.25854,-5.26677,5.81855,-9.22672,-2.82387,13.7619,0.840085,2.60309,6.15731,2.39942,2.40157,9.29556
1.24,-0.104879,0.220684,-6.87431,1.59803,-0.167619,-0.052644,-2.4252,-3.68625,7.56905,-14.1949,-3.03583,15.5116,1.84519,11.9596,5.34087,0.741174,3.19364,10.9154
1.25,2.8549,0.936467,6.99519,0.625979,0.584179,-0.485961,-0.16858,1.51198,3.033,-0.0780492,4.34022,-8.03409,-5.66829,-12.8581,-5.77144,-9.09629,2.62817,-4.91491
1.26,12.8614,3.44301,7.11036,-0.145858,1.8446,-0.69841,-5.80085,-2.61443,6.77463,-0.915767,7.15196,-8.4253,-13.9015,-27.4992,-4.01257,-17.1421,4.7051,-5.32985
1.27,5.39236,1.82816,-0.883863,0.411052,0.647611,0.200476,-3.21506,-2.26889,-4.71264,-4.57052,1.42184,-1.92489,-6.03207,-7.76522,4.92605,-1.95593,-2.92238,-2.30956
1.28,-8.13746,-1.8802,-0.721401,0.196263,-0.779306,0.632481,7.29271,3.91371,-13.1037,1.71166,-3.04157,-2.29942,0.837029,8.03754,-1.16437,9.37581,-6.31539,-2.96678
1.29,-3.09328,-1.39399,1.80831,-0.529829,0.033065,-0.00547789,6.69714,2.77007,-1.1865,3.61407,-1.34355,-0.546182,-5.87558,-1.77361,-8.52443,-0.788241,2.05091,-0.841568
